hitid,uid,ranking
2,113,"[380, 161, 346, 164, 369, 455, 328]"
2,117,"[161, 346, 328, 455, 347, 369, 438]"
2,119,"[94, 196, 296]"
2,120,"[346, 328, 296, 161, 347, 369, 55, 150, 380, 196, 455, 382, 164, 10, 438, 94, 413, 209, 131, 459]"
2,124,"[161, 328, 347, 346, 164, 438, 455, 382, 94, 296, 196, 55, 369, 150]"
2,130,"[161, 346, 347, 369, 164, 459, 455, 131, 438, 328, 209]"
2,131,"[328, 161, 346, 131, 347, 438, 455, 150, 459, 369]"
2,134,"[94, 296, 196, 164]"
2,136,"[346, 296, 164, 455, 347, 328, 161, 438]"
2,144,"[347, 346, 161, 459, 150, 438, 328, 196, 296, 369, 455, 94, 131, 382]"
2,148,"[346, 455, 347, 296, 328, 55, 196, 131, 382, 438, 413, 209, 150, 164, 94, 161, 459, 10, 380, 369]"
2,161,"[94, 164, 55, 296, 131, 369, 161, 455, 150, 382, 347, 346, 380, 328, 459, 209, 413, 438, 196]"
2,163,"[328, 296, 346, 347, 150, 438]"
2,165,"[55, 296, 196, 161, 346, 150, 455]"
2,168,"[196, 438, 55]"
2,178,"[161, 346, 328, 455, 347, 131, 150]"
2,179,"[328, 94, 347, 346, 161, 369, 131, 150, 438, 164]"
2,180,"[347, 346, 161, 455, 328, 438, 369, 382]"
2,184,"[369, 55, 161, 455, 346, 347]"
2,185,"[55, 346, 369, 328, 164, 455, 196, 438]"
2,187,"[346, 347, 455, 438]"
2,189,"[455, 150, 438, 196]"
2,194,"[131, 455, 459, 328, 296, 346, 347, 438, 55, 413, 369, 161]"
2,195,"[161, 346, 296, 347, 455, 164, 131, 55, 369, 196, 150, 328]"
2,196,"[161, 459, 382, 164, 131, 296, 55]"
2,197,"[346, 438, 455, 382, 347, 161, 328, 296, 94, 196, 131, 55, 164, 369]"
2,200,"[380, 346, 296, 55, 438, 382, 347]"
2,201,"[94, 164, 346, 459, 347, 438]"
2,205,"[346, 347, 328, 382, 161, 296, 438, 150, 196, 164, 455, 55, 94]"
2,206,"[328, 196, 347, 346, 455, 296, 438]"
2,211,"[382, 346, 438, 164, 196, 328, 94, 296, 55, 131, 150, 161, 369, 455, 347]"
2,212,"[346, 55, 164, 455, 161, 347, 328, 94, 131, 438, 296]"
2,213,"[346, 347, 161, 328, 94, 438, 296, 455, 164, 369]"
2,214,"[346, 347, 328, 164, 438]"
2,217,"[347, 161, 196, 346, 328, 94, 459, 369, 150, 296, 438, 382, 455]"
2,224,"[369, 346, 347, 328, 455, 161, 438, 164, 150]"
2,228,"[94, 455, 150, 131, 328, 347, 346, 438, 459, 55, 296, 161]"
2,229,"[296, 131, 346, 455, 164, 347]"
2,231,"[161, 347, 164, 346, 455, 328, 55, 131]"
2,232,"[131, 164, 459, 296, 346, 438, 328]"
2,233,"[161, 164, 296, 455, 438, 55, 328, 346, 382, 150]"
2,234,"[296, 438, 455, 161, 328, 346, 347]"
2,240,"[328, 346, 161, 438, 455, 164, 347]"
